1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,0
17,0
18,1
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,0
89,0
90,0
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,1
135,1
136,1
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,0
156,0
157,1
158,0
159,0
160,1
161,1
162,1
163,0
164,0
165,1
166,0
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,0
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,0
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,1
248,1
249,0
250,0
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,0
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,1
